145.81, 0.02
145.79, 0.04
145.83, 0.02
145.81, 0.04
145.77, 0.08
145.69, 0.16
145.53, 0.32
145.85, 0.02
145.87, 0.02
145.85, 0.04
145.89, 0.02
145.91, 0.02
145.89, 0.04
145.85, 0.08
145.77, 0.16
145.93, 0.02
145.95, 0.02
145.97, 0.02
145.99, 0.02
145.97, 0.04
145.93, 0.08
145.85, 0.16
146.01, 0.02
145.99, 0.04
145.95, 0.08
146.03, 0.02
146.01, 0.04
146.05, 0.02
146.07, 0.02
146.09, 0.02
146.11, 0.02
146.09, 0.04
146.13, 0.02
146.11, 0.04
146.07, 0.08
145.99, 0.16
145.83, 0.32
146.15, 0.02
146.17, 0.02
146.15, 0.04
146.19, 0.02
146.21, 0.02
146.23, 0.02
146.25, 0.02
146.23, 0.04
146.27, 0.02
146.25, 0.04
146.21, 0.08
146.29, 0.02
146.31, 0.02
146.33, 0.02
146.31, 0.04
