146.35, 0.02
146.33, 0.04
146.29, 0.08
146.37, 0.02
146.39, 0.02
146.41, 0.02
146.39, 0.04
146.35, 0.08
146.27, 0.16
146.11, 0.32
145.79, 0.64
146.43, 0.02
146.41, 0.04
146.45, 0.02
146.47, 0.02
146.49, 0.02
146.47, 0.04
146.43, 0.08
146.35, 0.16
146.51, 0.02
146.53, 0.02
146.55, 0.02
146.53, 0.04
146.57, 0.02
146.55, 0.04
146.51, 0.08
146.59, 0.02
146.57, 0.04
146.61, 0.02
146.63, 0.02
146.61, 0.04
146.57, 0.08
146.65, 0.02
146.63, 0.04
146.67, 0.02
146.69, 0.02
146.67, 0.04
146.71, 0.02
146.73, 0.02
146.71, 0.04
146.67, 0.08
146.59, 0.16
146.43, 0.32
146.75, 0.02
146.73, 0.04
146.77, 0.02
146.75, 0.04
146.79, 0.02
146.77, 0.04
146.81, 0.02
146.79, 0.04
146.75, 0.08
146.83, 0.02
146.81, 0.04
146.77, 0.08
146.69, 0.16
146.53, 0.32
146.85, 0.02
146.87, 0.02
146.85, 0.04
146.89, 0.02
146.87, 0.04
146.91, 0.02
146.89, 0.04
146.85, 0.08
146.77, 0.16
146.61, 0.32
146.93, 0.02
146.91, 0.04
146.87, 0.08
146.95, 0.02
146.97, 0.02
146.99, 0.02
147.01, 0.02
146.99, 0.04
146.95, 0.08
146.87, 0.16
147.03, 0.02
147.05, 0.02
147.03, 0.04
146.99, 0.08
147.07, 0.02
147.05, 0.04
147.09, 0.02
147.07, 0.04
147.11, 0.02
147.09, 0.04
147.13, 0.02
147.11, 0.04
147.07, 0.08
146.99, 0.16
146.83, 0.32
147.15, 0.02
147.13, 0.04
147.17, 0.02
147.15, 0.04
147.11, 0.08
147.19, 0.02
147.21, 0.02
147.19, 0.04
147.23, 0.02
147.25, 0.02
147.27, 0.02
147.29, 0.02
147.27, 0.04
147.31, 0.02
147.29, 0.04
147.25, 0.08
147.33, 0.02
147.35, 0.02
147.37, 0.02
147.35, 0.04
147.39, 0.02
147.37, 0.04
147.33, 0.08
147.25, 0.16
147.41, 0.02
147.43, 0.02
147.41, 0.04
147.45, 0.02
147.47, 0.02
147.45, 0.04
147.49, 0.02
147.47, 0.04
147.43, 0.08
147.51, 0.02
147.49, 0.04
147.45, 0.08
147.37, 0.16
147.53, 0.02
147.51, 0.04
147.47, 0.08
147.39, 0.16
147.23, 0.32
147.55, 0.02
147.57, 0.02
147.59, 0.02
147.61, 0.02
147.59, 0.04
147.63, 0.02
147.65, 0.02
147.63, 0.04
147.67, 0.02
147.69, 0.02
147.71, 0.02
147.69, 0.04
147.73, 0.02
147.75, 0.02
147.73, 0.04
147.77, 0.02
147.79, 0.02
