78.34, 0.01
78.35, 0.01
78.36, 0.01
78.37, 0.01
78.38, 0.01
78.37, 0.02
78.39, 0.01
78.4, 0.01
78.41, 0.01
78.42, 0.01
78.43, 0.01
78.42, 0.02
78.44, 0.01
78.45, 0.01
78.46, 0.01
78.47, 0.01
78.46, 0.02
78.48, 0.01
78.47, 0.02
78.49, 0.01
78.48, 0.02
78.46, 0.04
78.5, 0.01
78.51, 0.01
78.5, 0.02
78.48, 0.04
78.52, 0.01
78.51, 0.02
78.49, 0.04
78.53, 0.01
78.54, 0.01
78.55, 0.01
78.56, 0.01
78.57, 0.01
78.56, 0.02
78.54, 0.04
78.5, 0.08
78.58, 0.01
78.59, 0.01
78.58, 0.02
78.6, 0.01
78.59, 0.02
78.61, 0.01
78.6, 0.02
78.62, 0.01
78.61, 0.02
78.63, 0.01
78.62, 0.02
78.64, 0.01
78.63, 0.02
78.61, 0.04
78.65, 0.01
78.64, 0.02
78.66, 0.01
78.67, 0.01
78.68, 0.01
78.67, 0.02
78.65, 0.04
78.61, 0.08
78.53, 0.16
78.37, 0.32
78.69, 0.01
78.68, 0.02
78.7, 0.01
78.69, 0.02
78.67, 0.04
78.63, 0.08
78.55, 0.16
78.39, 0.32
78.71, 0.01
78.7, 0.02
78.68, 0.04
78.64, 0.08
78.56, 0.16
